"Jobs","Code","Occupation_Type","Employment_2016","Employment_2026","Employment_Change_Number","Employment_Change_Percent","Percent_Self_Employed_2016","Occupational_Openings","Median_Annual_2017","Entry_Education","Work_Experience","layer1","layer2","layer3"
"First-line supervisors of correctional officers","33-1011","Line item",45.2,41.7,-3.5,-7.8,NA,2.5,"62500","High school diploma or equivalent","Less than 5 years","33","1","011"
"First-line supervisors of police and detectives","33-1012","Line item",104.7,111.6,6.9,6.6,NA,7.1,"87910","High school diploma or equivalent","Less than 5 years","33","1","012"
"First-line supervisors of fire fighting and prevention workers","33-1021","Line item",59.1,63.3,4.2,7.2,NA,4.4,"76170","Postsecondary nondegree award","Less than 5 years","33","1","021"
"First-line supervisors of protective service workers, all other","33-1099","Line item",75.2,78.7,3.5,4.6,1.3,7.7,"49430","High school diploma or equivalent","Less than 5 years","33","1","099"
"Fire fighting and prevention workers","33-2000","Summary",341.4,366.3,24.9,7.3,0.2,25.9,"49410","—","—","33","2","000"
"Firefighters","33-2011","Line item",327.3,350.9,23.5,7.2,0.2,24.3,"49080","Postsecondary nondegree award","None","33","2","011"
"Fire inspectors and investigators","33-2021","Line item",12.3,13.2,0.9,7.3,NA,1.4,"59260","Postsecondary nondegree award","5 years or more","33","2","021"
"Forest fire inspectors and prevention specialists","33-2022","Line item",1.7,2.2,0.5,26.6,NA,0.2,"37380","High school diploma or equivalent","Less than 5 years","33","2","022"
"Law enforcement workers","33-3000","Summary",1285,1300.1,15.2,1.2,NA,91,"54520","—","—","33","3","000"
"Bailiffs","33-3011","Line item",18.6,18.2,-0.4,-2.1,NA,1.4,"42960","High school diploma or equivalent","None","33","3","011"
"Correctional officers and jailers","33-3012","Line item",450,415.5,-34.5,-7.7,NA,31.3,"43540","High school diploma or equivalent","None","33","3","012"
"Detectives and criminal investigators","33-3021","Line item",110.9,115.9,5,4.5,NA,7.5,"79970","High school diploma or equivalent","Less than 5 years","33","3","021"
"Fish and game wardens","33-3031","Line item",7,7.3,0.3,4.3,NA,0.7,"56410","Bachelor's degree","None","33","3","031"
"Parking enforcement workers","33-3041","Line item",9.4,6.1,-3.3,-35.3,NA,0.4,"39030","High school diploma or equivalent","None","33","3","041"
"Police and sheriff's patrol officers","33-3051","Line item",684.2,731.9,47.8,7,NA,49.5,"61050","High school diploma or equivalent","None","33","3","051"
"Transit and railroad police","33-3052","Line item",4.9,5.3,0.3,6.3,NA,0.4,"70280","High school diploma or equivalent","None","33","3","052"
"Other protective service workers","33-9000","Summary",1595,1702.1,107,6.7,1.1,258.6,"27150","—","—","33","9","000"
"Animal control workers","33-9011","Line item",13.4,14.6,1.1,8.5,NA,1.6,"35520","High school diploma or equivalent","None","33","9","011"
"Private detectives and investigators","33-9021","Line item",41.4,45.8,4.4,10.6,30.8,4.5,"50700","High school diploma or equivalent","Less than 5 years","33","9","021"
"Gaming surveillance officers and gaming investigators","33-9031","Line item",10.7,11.1,0.4,3.5,NA,1.4,"33260","High school diploma or equivalent","Less than 5 years","33","9","031"
"Security guards","33-9032","Line item",1123.3,1193.9,70.6,6.3,0.4,157.5,"26900","High school diploma or equivalent","None","33","9","032"
"Crossing guards","33-9091","Line item",74.3,80.6,6.3,8.5,NA,14.5,"27630","No formal educational credential","None","33","9","091"
"Lifeguards, ski patrol, and other recreational protective service workers","33-9092","Line item",152.1,163.7,11.7,7.7,NA,39.7,"21290","No formal educational credential","None","33","9","092"
"Transportation security screeners","33-9093","Line item",46.1,47.3,1.2,2.6,NA,4.2,"40580","High school diploma or equivalent","None","33","9","093"
"Protective service workers, all other","33-9099","Line item",133.8,145.1,11.3,8.4,NA,35.2,"30240","High school diploma or equivalent","None","33","9","099"
"Food preparation and serving related occupations","35-0000","Summary",13206.1,14438.1,1232,9.3,0.5,2469.9,"21910","—","—","35","0","000"
"Supervisors of food preparation and serving workers","35-1000","Summary",1083.4,1185.1,101.7,9.4,2.6,166.6,"33400","—","—","35","1","000"
"Chefs and head cooks","35-1011","Line item",146.5,160.6,14.1,9.6,6.7,20.3,"45950","High school diploma or equivalent","5 years or more","35","1","011"
"First-line supervisors of food preparation and serving workers","35-1012","Line item",936.9,1024.5,87.6,9.3,1.9,146.3,"31960","High school diploma or equivalent","Less than 5 years","35","1","012"
"Cooks and food preparation workers","35-2000","Summary",3274.1,3490.3,216.2,6.6,0.7,515.7,"23620","—","—","35","2","000"
"Cooks, fast food","35-2011","Line item",517.6,490.5,-27.1,-5.2,NA,67.2,"21040","No formal educational credential","None","35","2","011"
"Cooks, institution and cafeteria","35-2012","Line item",424.8,457.4,32.6,7.7,NA,64.4,"25860","No formal educational credential","None","35","2","012"
"Cooks, private household","35-2013","Line item",25,26.3,1.4,5.5,71.8,3.7,"38280","Postsecondary nondegree award","Less than 5 years","35","2","013"
"Cooks, restaurant","35-2014","Line item",1231.9,1377.2,145.3,11.8,NA,195.3,"25180","No formal educational credential","Less than 5 years","35","2","014"
"Cooks, short order","35-2015","Line item",185.9,179.7,-6.2,-3.3,NA,24.7,"22740","No formal educational credential","None","35","2","015"
"Cooks, all other","35-2019","Line item",17.8,19.4,1.6,9,NA,2.7,"27990","No formal educational credential","None","35","2","019"
"Food preparation workers","35-2021","Line item",871.1,939.7,68.6,7.9,0.6,157.7,"22730","No formal educational credential","None","35","2","021"
"Food and beverage serving workers","35-3000","Summary",7432.9,8260.4,827.6,11.1,0.1,1517.2,"20500","—","—","35","3","000"
"Bartenders","35-3011","Line item",611.2,626.3,15.1,2.5,0.3,102.3,"21690","No formal educational credential","None","35","3","011"
"Combined food preparation and serving workers, including fast food","35-3021","Line item",3452.2,4032.1,579.9,16.8,0.1,736,"20180","No formal educational credential","None","35","3","021"
"Counter attendants, cafeteria, food concession, and coffee shop","35-3022","Line item",505.2,528.3,23.1,4.6,0.5,113.2,"21280","No formal educational credential","None","35","3","022"
"Waiters and waitresses","35-3031","Line item",2600.5,2783,182.5,7,0.1,522.7,"20820","No formal educational credential","None","35","3","031"
"Food servers, nonrestaurant","35-3041","Line item",263.8,290.7,26.9,10.2,NA,43.1,"22320","No formal educational credential","None","35","3","041"
"Other food preparation and serving related workers","35-9000","Summary",1415.7,1502.3,86.6,6.1,0.1,270.3,"21490","—","—","35","9","000"
"Dining room and cafeteria attendants and bartender helpers","35-9011","Line item",431.2,461.7,30.5,7.1,0.2,78.2,"21160","No formal educational credential","None","35","9","011"
"Dishwashers","35-9021","Line item",514.3,536.6,22.2,4.3,NA,83,"21500","No formal educational credential","None","35","9","021"
"Hosts and hostesses, restaurant, lounge, and coffee shop","35-9031","Line item",409.2,437.5,28.3,6.9,0,97.9,"20930","No formal educational credential","None","35","9","031"
"Food preparation and serving related workers, all other","35-9099","Line item",60.9,66.5,5.6,9.3,0.2,11.3,"22620","No formal educational credential","None","35","9","099"
"Building and grounds cleaning and maintenance occupations","37-0000","Summary",5654.1,6177.9,523.8,9.3,12.4,788.4,"25620","—","—","37","0","000"
"Supervisors of building and grounds cleaning and maintenance workers","37-1000","Summary",421.8,466.3,44.5,10.5,34,50.3,"42190","—","—","37","1","000"
"First-line supervisors of housekeeping and janitorial workers","37-1011","Line item",243.5,267.6,24.1,9.9,29.3,30.8,"39230","High school diploma or equivalent","Less than 5 years","37","1","011"
"First-line supervisors of landscaping, lawn service, and groundskeeping workers","37-1012","Line item",178.3,198.6,20.3,11.4,40.4,19.5,"47030","High school diploma or equivalent","Less than 5 years","37","1","012"
"Building cleaning and pest control workers","37-2000","Summary",3923,4255.9,333,8.5,7,560.2,"24360","—","—","37","2","000"
"Janitors and cleaners, except maids and housekeeping cleaners","37-2011","Line item",2384.6,2621.2,236.5,9.9,3.8,344.1,"24990","No formal educational credential","None","37","2","011"
"Maids and housekeeping cleaners","37-2012","Line item",1443.2,1531,87.9,6.1,12.3,202,"22860","No formal educational credential","None","37","2","012"
"Building cleaning workers, all other","37-2019","Line item",16.2,18.3,2.1,12.8,4.8,2.4,"29060","No formal educational credential","None","37","2","019"
"Pest control workers","37-2021","Line item",78.9,85.4,6.5,8.2,6.4,11.7,"34370","High school diploma or equivalent","None","37","2","021"
"Grounds maintenance workers","37-3000","Summary",1309.3,1455.6,146.3,11.2,21.7,177.9,"28110","—","—","37","3","000"
"Landscaping and groundskeeping workers","37-3011","Line item",1197.9,1333.1,135.2,11.3,21.9,163,"27670","No formal educational credential","None","37","3","011"
"Pesticide handlers, sprayers, and applicators, vegetation","37-3012","Line item",38,41,3,7.8,18.9,5,"34830","High school diploma or equivalent","None","37","3","012"
"Tree trimmers and pruners","37-3013","Line item",54.5,60.9,6.4,11.7,22.9,7.5,"36460","High school diploma or equivalent","None","37","3","013"
"Grounds maintenance workers, all other","37-3019","Line item",18.9,20.6,1.7,9.2,16,2.5,"30060","No formal educational credential","None","37","3","019"
"Personal care and service occupations","39-0000","Summary",6419.7,7647.4,1227.6,19.1,16.2,1140.9,"23610","—","—","39","0","000"
"Supervisors of personal care and service workers","39-1000","Summary",326.7,369.1,42.4,13,28.4,39.7,"38500","—","—","39","1","000"
"Gaming supervisors","39-1011","Line item",38.5,40,1.5,3.9,41.7,6.2,"—","High school diploma or equivalent","Less than 5 years","39","1","011"
"Slot supervisors","39-1012","Line item",12.1,12.6,0.6,4.6,35.5,2,"—","High school diploma or equivalent","Less than 5 years","39","1","012"
"First-line supervisors of personal service workers","39-1021","Line item",276.1,316.5,40.3,14.6,26.2,31.6,"37450","High school diploma or equivalent","Less than 5 years","39","1","021"
"Animal care and service workers","39-2000","Summary",296.4,361,64.6,21.8,23.6,53.2,"23160","—","—","39","2","000"
"Animal trainers","39-2011","Line item",54.9,61,6.1,11.2,46.8,7,"28880","High school diploma or equivalent","None","39","2","011"
"Nonfarm animal caretakers","39-2021","Line item",241.5,300,58.5,24.2,18.3,46.2,"22950","High school diploma or equivalent","None","39","2","021"
"Entertainment attendants and related workers","39-3000","Summary",584.3,625.9,41.7,7.1,0.8,132.3,"20990","—","—","39","3","000"
"Gaming dealers","39-3011","Line item",96.9,98,1.1,1.2,1.2,14.5,"19820","High school diploma or equivalent","None","39","3","011"
"Gaming and sports book writers and runners","39-3012","Line item",11.7,12.1,0.4,3.8,1.3,1.8,"24030","High school diploma or equivalent","None","39","3","012"
"Gaming service workers, all other","39-3019","Line item",12.5,12.6,0.1,0.7,1.4,1.9,"27040","High school diploma or equivalent","None","39","3","019"
"Motion picture projectionists","39-3021","Line item",5.8,5.2,-0.6,-9.7,4.3,0.6,"22050","No formal educational credential","None","39","3","021"
"Ushers, lobby attendants, and ticket takers","39-3031","Line item",117.7,126.4,8.8,7.5,NA,30.5,"20820","No formal educational credential","None","39","3","031"
"Amusement and recreation attendants","39-3091","Line item",300,327.9,27.8,9.3,0.9,73.2,"21060","No formal educational credential","None","39","3","091"
"Costume attendants","39-3092","Line item",6.6,7.3,0.6,9.7,1.1,1.6,"42620","High school diploma or equivalent","None","39","3","092"
"Locker room, coatroom, and dressing room attendants","39-3093","Line item",18.6,20.3,1.6,8.7,1,4.5,"22830","High school diploma or equivalent","None","39","3","093"
"Entertainment attendants and related workers, all other","39-3099","Line item",14.6,16.2,1.7,11.4,1,3.6,"24200","High school diploma or equivalent","None","39","3","099"
"Funeral service workers","39-4000","Summary",68.5,70.6,2.1,3,3.7,9.8,"32300","—","—","39","4","000"
"Embalmers","39-4011","Line item",3.7,3.7,0,-0.8,NA,0.6,"42780","Associate's degree","None","39","4","011"
"Funeral attendants","39-4021","Line item",36.1,37,1,2.7,NA,5.6,"25050","High school diploma or equivalent","None","39","4","021"
"Morticians, undertakers, and funeral directors","39-4031","Line item",28.7,29.8,1.1,3.9,8.8,3.7,"51850","Associate's degree","None","39","4","031"
"Personal appearance workers","39-5000","Summary",887.3,1003.6,116.3,13.1,41.1,119,"24410","—","—","39","5","000"
"Barbers","39-5011","Line item",56.4,64,7.6,13.4,71.7,6.2,"25650","Postsecondary nondegree award","None","39","5","011"
"Hairdressers, hairstylists, and cosmetologists","39-5012","Line item",617.3,697.4,80.1,13,42.9,84.7,"24850","Postsecondary nondegree award","None","39","5","012"
"Makeup artists, theatrical and performance","39-5091","Line item",4.8,5.4,0.6,12.5,29.1,0.6,"59300","Postsecondary nondegree award","None","39","5","091"
"Manicurists and pedicurists","39-5092","Line item",126.3,143,16.7,13.2,28,16.6,"23230","Postsecondary nondegree award","None","39","5","092"
"Shampooers","39-5093","Line item",21.2,24.1,2.8,13.4,28,2.8,"20320","No formal educational credential","None","39","5","093"
"Skincare specialists","39-5094","Line item",61.3,69.7,8.5,13.8,28,8.1,"30080","Postsecondary nondegree award","None","39","5","094"
"Baggage porters, bellhops, and concierges","39-6000","Summary",77.6,85,7.4,9.5,NA,11.8,"25700","—","—","39","6","000"
"Baggage porters and bellhops","39-6011","Line item",45.1,48.8,3.7,8.2,NA,6.7,"23230","High school diploma or equivalent","None","39","6","011"
"Concierges","39-6012","Line item",32.5,36.2,3.7,11.3,NA,5,"30150","High school diploma or equivalent","None","39","6","012"
"Tour and travel guides","39-7000","Summary",49.4,54.3,4.9,9.9,11.9,9.4,"25770","—","—","39","7","000"
"Tour guides and escorts","39-7011","Line item",45.8,50.6,4.7,10.3,11.9,8.7,"—","High school diploma or equivalent","None","39","7","011"
"Travel guides","39-7012","Line item",3.6,3.8,0.2,4.9,12.5,0.6,"—","High school diploma or equivalent","None","39","7","012"
"Other personal care and service workers","39-9000","Summary",4129.5,5077.9,948.4,23,12,765.7,"23480","—","—","39","9","000"
"Childcare workers","39-9011","Line item",1216.6,1300.9,84.3,6.9,28.8,189.1,"22290","High school diploma or equivalent","None","39","9","011"
"Personal care aides","39-9021","Line item",2016.1,2793.8,777.6,38.6,3.6,414.3,"23100","High school diploma or equivalent","None","39","9","021"
"Fitness trainers and aerobics instructors","39-9031","Line item",299.2,329.2,30.1,10.1,10.9,55,"39210","High school diploma or equivalent","None","39","9","031"
"Recreation workers","39-9032","Line item",390,423.9,34,8.7,7,70.7,"24540","High school diploma or equivalent","None","39","9","032"
"Residential advisors","39-9041","Line item",118.8,134.1,15.3,12.9,NA,22.5,"26830","High school diploma or equivalent","None","39","9","041"
"Personal care and service workers, all other","39-9099","Line item",88.9,95.9,7,7.9,15.7,14.1,"25900","High school diploma or equivalent","None","39","9","099"
"Sales and related occupations","41-0000","Summary",15747.8,16206.5,458.7,2.9,7.8,2201.1,"27020","—","—","41","0","000"
"Supervisors of sales workers","41-1000","Summary",1937.6,2015.3,77.7,4,25.7,207.4,"41860","—","—","41","1","000"
"First-line supervisors of retail sales workers","41-1011","Line item",1532.4,1590.1,57.7,3.8,22.8,168.5,"38550","High school diploma or equivalent","Less than 5 years","41","1","011"
"First-line supervisors of non-retail sales workers","41-1012","Line item",405.2,425.2,20,4.9,36.8,39,"71650","High school diploma or equivalent","Less than 5 years","41","1","012"
"Retail sales workers","41-2000","Summary",8891.5,8978.8,87.3,1,1.9,1423.1,"22400","—","—","41","2","000"
"Cashiers","41-2011","Line item",3555.5,3524.9,-30.6,-0.9,0.6,653.7,"21030","No formal educational credential","None","41","2","011"
"Gaming change persons and booth cashiers","41-2012","Line item",23.4,24,0.6,2.6,0.3,4.5,"23910","No formal educational credential","None","41","2","012"
"Counter and rental clerks","41-2021","Line item",458.2,483.2,25,5.5,0.5,61.8,"25820","No formal educational credential","None","41","2","021"
"Parts salespersons","41-2022","Line item",251.9,264.5,12.7,5,0.9,32.9,"29380","No formal educational credential","None","41","2","022"
"Retail salespersons","41-2031","Line item",4602.5,4682.1,79.7,1.7,3.2,670.3,"23210","No formal educational credential","None","41","2","031"
"Sales representatives, services","41-3000","Summary",2091.8,2244.8,153,7.3,7.1,249.2,"52460","—","—","41","3","000"
"Advertising sales agents","41-3011","Line item",149.9,144.5,-5.4,-3.6,5.8,17.7,"49680","High school diploma or equivalent","None","41","3","011"
"Insurance sales agents","41-3021","Line item",501.4,551.2,49.8,9.9,18.4,54.7,"49710","High school diploma or equivalent","None","41","3","021"
"Securities, commodities, and financial services sales agents","41-3031","Line item",375.7,398.9,23.3,6.2,4.8,38,"63780","Bachelor's degree","None","41","3","031"
"Travel agents","41-3041","Line item",81.7,72.2,-9.5,-11.7,14.9,7.8,"36990","High school diploma or equivalent","None","41","3","041"
"Sales representatives, services, all other","41-3099","Line item",983,1077.9,94.9,9.7,1.8,131,"52510","High school diploma or equivalent","None","41","3","099"
"Sales representatives, wholesale and manufacturing","41-4000","Summary",1813.5,1907.6,94.1,5.2,3.8,195.4,"60340","—","—","41","4","000"
"Sales representatives, wholesale and manufacturing, technical and scientific products","41-4011","Line item",343.6,361.3,17.6,5.1,3.8,37,"78830","Bachelor's degree","None","41","4","011"
"Sales representatives, wholesale and manufacturing, except technical and scientific products","41-4012","Line item",1469.9,1546.3,76.4,5.2,3.8,158.4,"56970","High school diploma or equivalent","None","41","4","012"
"Other sales and related workers","41-9000","Summary",1013.4,1060,46.5,4.6,33.9,125.9,"33630","—","—","41","9","000"
"Demonstrators and product promoters","41-9011","Line item",94.7,100.9,6.2,6.6,8,17.1,"27060","No formal educational credential","None","41","9","011"
"Models","41-9012","Line item",4.8,4.8,-0.1,-1.3,6.6,0.8,"22900","No formal educational credential","None","41","9","012"
"Real estate brokers","41-9021","Line item",95.3,100,4.7,4.9,56.5,9.3,"56730","High school diploma or equivalent","Less than 5 years","41","9","021"
"Real estate sales agents","41-9022","Line item",348.8,369,20.2,5.8,55.8,34.4,"45990","High school diploma or equivalent","None","41","9","022"
"Sales engineers","41-9031","Line item",74.9,80.1,5.2,6.9,0.1,8.3,"98720","Bachelor's degree","None","41","9","031"
"Telemarketers","41-9041","Line item",216.6,216.6,0,0,0.3,33.3,"24460","No formal educational credential","None","41","9","041"
"Door-to-door sales workers, news and street vendors, and related workers","41-9091","Line item",82.4,82.4,0.1,0.1,90.2,8.6,"23810","No formal educational credential","None","41","9","091"
"Sales and related workers, all other","41-9099","Line item",95.9,106.1,10.2,10.6,12.7,14.1,"33890","High school diploma or equivalent","None","41","9","099"
"Office and administrative support occupations","43-0000","Summary",23081.2,23230.8,149.6,0.6,1,2596.4,"34740","—","—","43","0","000"
"Supervisors of office and administrative support workers","43-1000","Summary",1506.3,1557.4,51.2,3.4,0.8,153,"55060","—","—","43","1","000"
"First-line supervisors of office and administrative support workers","43-1011","Line item",1506.3,1557.4,51.2,3.4,0.8,153,"55060","High school diploma or equivalent","Less than 5 years","43","1","011"
"Communications equipment operators","43-2000","Summary",104.7,84.4,-20.3,-19.4,NA,10.2,"29160","—","—","43","2","000"
"Switchboard operators, including answering service","43-2011","Line item",93.2,74.7,-18.5,-19.9,NA,9,"28700","High school diploma or equivalent","None","43","2","011"
"Telephone operators","43-2021","Line item",9.1,7,-2,-22.6,NA,0.9,"36320","High school diploma or equivalent","None","43","2","021"
"Communications equipment operators, all other","43-2099","Line item",2.4,2.6,0.2,10.4,NA,0.3,"41480","High school diploma or equivalent","None","43","2","099"
"Financial clerks","43-3000","Summary",3336.6,3330.4,-6.3,-0.2,2.2,358.5,"36520","—","—","43","3","000"
"Bill and account collectors","43-3011","Line item",305.7,296.7,-9.1,-3,0.7,30.2,"35330","High school diploma or equivalent","None","43","3","011"
"Billing and posting clerks","43-3021","Line item",501,571.6,70.7,14.1,1,59.5,"36860","High school diploma or equivalent","None","43","3","021"
"Bookkeeping, accounting, and auditing clerks","43-3031","Line item",1730.5,1705.3,-25.2,-1.5,3.8,186.4,"39240","Some college, no degree","None","43","3","031"
"Gaming cage workers","43-3041","Line item",19,19.3,0.3,1.4,NA,3,"26320","High school diploma or equivalent","None","43","3","041"
"Payroll and timekeeping clerks","43-3051","Line item",166.3,164.7,-1.6,-0.9,0.3,16.1,"43890","High school diploma or equivalent","None","43","3","051"
"Procurement clerks","43-3061","Line item",74.9,71.7,-3.2,-4.3,1,7.5,"41910","High school diploma or equivalent","None","43","3","061"
"Tellers","43-3071","Line item",502.7,460.9,-41.8,-8.3,0.1,51.5,"28110","High school diploma or equivalent","None","43","3","071"
"Financial clerks, all other","43-3099","Line item",36.6,40.2,3.6,9.9,2.9,4.3,"39970","High school diploma or equivalent","None","43","3","099"
"Information and record clerks","43-4000","Summary",5830,6137.9,307.9,5.3,0.6,760,"32270","—","—","43","4","000"
"Brokerage clerks","43-4011","Line item",60.4,63.4,3,5,NA,6.6,"49800","High school diploma or equivalent","None","43","4","011"
"Correspondence clerks","43-4021","Line item",7.2,7.4,0.2,2.1,1.1,0.8,"36620","High school diploma or equivalent","None","43","4","021"
"Court, municipal, and license clerks","43-4031","Line item",135.5,144.2,8.8,6.5,1.5,12.6,"37300","High school diploma or equivalent","None","43","4","031"
"Credit authorizers, checkers, and clerks","43-4041","Line item",38.5,37.4,-1.1,-2.8,1,3.7,"37290","High school diploma or equivalent","None","43","4","041"
"Customer service representatives","43-4051","Line item",2784.5,2920.8,136.3,4.9,0.5,373.5,"32890","High school diploma or equivalent","None","43","4","051"
"Eligibility interviewers, government programs","43-4061","Line item",143.1,151.6,8.5,6,NA,13.6,"44400","High school diploma or equivalent","None","43","4","061"
"File clerks","43-4071","Line item",135,121,-14,-10.4,0.7,14.2,"30120","High school diploma or equivalent","None","43","4","071"
"Hotel, motel, and resort desk clerks","43-4081","Line item",252.6,263.8,11.2,4.4,0.4,40.9,"22850","High school diploma or equivalent","None","43","4","081"
"Interviewers, except eligibility and loan","43-4111","Line item",194.7,205.7,11,5.7,0,24.3,"33110","High school diploma or equivalent","None","43","4","111"
"Library assistants, clerical","43-4121","Line item",104.3,114.1,9.8,9.4,NA,16.3,"25810","High school diploma or equivalent","None","43","4","121"
"Loan interviewers and clerks","43-4131","Line item",229.8,258.2,28.4,12.3,0.8,25.7,"39060","High school diploma or equivalent","None","43","4","131"
"New accounts clerks","43-4141","Line item",42,39.4,-2.6,-6.2,NA,4,"35260","High school diploma or equivalent","None","43","4","141"
"Order clerks","43-4151","Line item",179,175.3,-3.7,-2.1,1.2,19.4,"33510","High school diploma or equivalent","None","43","4","151"
"Human resources assistants, except payroll and timekeeping","43-4161","Line item",141.5,138.9,-2.6,-1.8,NA,15.1,"39480","Associate's degree","None","43","4","161"
"Receptionists and information clerks","43-4171","Line item",1053.7,1149.2,95.5,9.1,1,151.1,"28390","High school diploma or equivalent","None","43","4","171"
"Reservation and transportation ticket agents and travel clerks","43-4181","Line item",150.1,155.8,5.6,3.8,0.5,16.3,"36280","High school diploma or equivalent","None","43","4","181"
"Information and record clerks, all other","43-4199","Line item",178.1,191.7,13.6,7.6,0.1,21.9,"39860","High school diploma or equivalent","None","43","4","199"
"Material recording, scheduling, dispatching, and distributing workers","43-5000","Summary",4117.5,4199.4,81.9,2,0.7,454.5,"31100","—","—","43","5","000"
"Cargo and freight agents","43-5011","Line item",89.8,99.1,9.3,10.4,0.2,8.6,"41820","High school diploma or equivalent","None","43","5","011"
"Couriers and messengers","43-5021","Line item",95,105.9,10.9,11.5,20.1,10.1,"28250","High school diploma or equivalent","None","43","5","021"
"Police, fire, and ambulance dispatchers","43-5031","Line item",98.6,106.7,8.2,8.3,NA,10,"39640","High school diploma or equivalent","None","43","5","031"
"Dispatchers, except police, fire, and ambulance","43-5032","Line item",201.7,201.6,-0.1,-0.1,1,18,"38790","High school diploma or equivalent","None","43","5","032"
"Meter readers, utilities","43-5041","Line item",34.8,33.2,-1.5,-4.4,NA,2.3,"39240","High school diploma or equivalent","None","43","5","041"
"Postal service clerks","43-5051","Line item",79,69.5,-9.5,-12.1,NA,4.8,"58550","High school diploma or equivalent","None","43","5","051"
"Postal service mail carriers","43-5052","Line item",316.7,278.5,-38.2,-12.1,NA,16.1,"57000","High school diploma or equivalent","None","43","5","052"
"Postal service mail sorters, processors, and processing machine operators","43-5053","Line item",106.7,89.1,-17.5,-16.5,NA,5.2,"57260","High school diploma or equivalent","None","43","5","053"
"Production, planning, and expediting clerks","43-5061","Line item",329.4,347.4,18,5.5,0.6,35.5,"46670","High school diploma or equivalent","None","43","5","061"
"Shipping, receiving, and traffic clerks","43-5071","Line item",681.4,681.5,0.1,0,0.1,67.2,"31810","High school diploma or equivalent","None","43","5","071"
"Stock clerks and order fillers","43-5081","Line item",2008.6,2109.6,100.9,5,0.2,269.2,"24470","High school diploma or equivalent","None","43","5","081"
"Weighers, measurers, checkers, and samplers, recordkeeping","43-5111","Line item",75.9,77.3,1.4,1.8,1.3,7.6,"30180","High school diploma or equivalent","None","43","5","111"
"Secretaries and administrative assistants","43-6000","Summary",3990.4,3798.2,-192.2,-4.8,0.9,394.6,"37870","—","—","43","6","000"
"Executive secretaries and executive administrative assistants","43-6011","Line item",685.3,566.2,-119.2,-17.4,0.9,54.6,"57410","High school diploma or equivalent","Less than 5 years","43","6","011"
"Legal secretaries","43-6012","Line item",194.7,157.5,-37.1,-19.1,1.1,15,"44730","High school diploma or equivalent","None","43","6","012"
"Medical secretaries","43-6013","Line item",574.2,703.2,129,22.5,1.1,80.8,"34610","High school diploma or equivalent","None","43","6","013"
"Secretaries and administrative assistants, except legal, medical, and executive","43-6014","Line item",2536.2,2371.3,-164.9,-6.5,0.9,244.3,"35590","High school diploma or equivalent","None","43","6","014"
"Other office and administrative support workers","43-9000","Summary",4195.7,4123.2,-72.5,-1.7,1,465.6,"32560","—","—","43","9","000"
"Computer operators","43-9011","Line item",51.5,39.7,-11.8,-22.8,5.1,3.4,"44270","High school diploma or equivalent","None","43","9","011"
"Data entry keyers","43-9021","Line item",203.8,160.6,-43.3,-21.2,1.6,16.8,"30930","High school diploma or equivalent","None","43","9","021"
"Word processors and typists","43-9022","Line item",74.9,50.1,-24.8,-33.1,7.2,4.5,"39740","High school diploma or equivalent","None","43","9","022"
"Desktop publishers","43-9031","Line item",14.6,12.5,-2,-14,7,1.2,"42350","Associate's degree","None","43","9","031"
"Insurance claims and policy processing clerks","43-9041","Line item",308.5,342.6,34.1,11.1,1,35.6,"38790","High school diploma or equivalent","None","43","9","041"
"Mail clerks and mail machine operators, except postal service","43-9051","Line item",95.5,88.4,-7.1,-7.4,0.1,9.4,"29620","High school diploma or equivalent","None","43","9","051"
"Office clerks, general","43-9061","Line item",3117.7,3086,-31.8,-1,0.4,356.2,"31500","High school diploma or equivalent","None","43","9","061"
"Office machine operators, except computer","43-9071","Line item",59.9,50.5,-9.4,-15.6,NA,5.1,"31360","High school diploma or equivalent","None","43","9","071"
"Proofreaders and copy markers","43-9081","Line item",14.2,14.4,0.2,1.7,12.3,2.2,"37550","Bachelor's degree","None","43","9","081"
"Statistical assistants","43-9111","Line item",11.8,12.9,1.1,9.2,NA,1.6,"47400","Bachelor's degree","None","43","9","111"
"Office and administrative support workers, all other","43-9199","Line item",243.2,265.4,22.1,9.1,4,29.4,"35590","High school diploma or equivalent","None","43","9","199"
"Farming, fishing, and forestry occupations","45-0000","Summary",1060.1,1056.7,-3.5,-0.3,4,154.3,"24390","—","—","45","0","000"
"Supervisors of farming, fishing, and forestry workers","45-1000","Summary",48.7,49.7,0.9,1.9,12.3,6.5,"46570","—","—","45","1","000"
"First-line supervisors of farming, fishing, and forestry workers","45-1011","Line item",48.7,49.7,0.9,1.9,12.3,6.5,"46570","High school diploma or equivalent","Less than 5 years","45","1","011"
"Agricultural workers","45-2000","Summary",914.8,914.7,0,0,0.5,136.7,"23830","—","—","45","2","000"
"Agricultural inspectors","45-2011","Line item",15.6,16.3,0.7,4.6,NA,2.2,"43390","Bachelor's degree","None","45","2","011"
"Animal breeders","45-2021","Line item",9,9.2,0.2,2,NA,1.4,"37560","High school diploma or equivalent","None","45","2","021"
"Graders and sorters, agricultural products","45-2041","Line item",42.9,42.5,-0.4,-0.9,0.2,5.7,"23340","No formal educational credential","None","45","2","041"
"Agricultural equipment operators","45-2091","Line item",63.9,67.4,3.5,5.5,0.6,10.2,"30110","No formal educational credential","None","45","2","091"
